University_Name,College_Dep,Degree_Category,DS_or_BA,Year_Est,Full_Address,Long,Lat,State,Deg_Desc,URL
Georgetown University, Graduate School of Arts and Sciences," M.S. in Data Science and Analytics (Formerly the M.S. in Analytics, renamed in 2021.)",DS,2015,"37th and O St NW, Washington, DC 20057",-77.071608,38.907684,DC,"Students in the M.S. in Data Science and Analytics program build a robust knowledge base and solid foundation in data science and analytics fundamentals, including big data and cloud computing, machine and deep learning, interactive and complex visualization methods, advanced databases, objects, algorithms, and complexity, text mining and natural language processing, and advanced mathematical and statistical modeling. Languages used include R, Python, and SQL. Students also engage in additional and critical skills including decision science, data communication, visual narrative development, teamwork, and complex problem solving techniques. Students who complete the program pursue careers in fields including business intelligence, analytics, and decision making; medical analytics; public policy, government, and political analytics; finance, marketing, and banking analytics; big data infrastructure and cloud computing; global health analytics, and many other data-dependent areas. ",https://analytics.georgetown.edu/
Indiana University Bloomington, School of Informatics and Computing, M.S. in Data Science,DS,2015,"107 S. Indiana Ave., Bloomington, IN 47405-7000",-86.52685362,39.16643831,IN,"To hone your expertise as a data professional, your coursework will be grounded in the real-world challenges that local and global communities, organizations, and citizens face on a daily basis.

Our Data Science program offers sets of core competencies in multiple areas—including programming, statistics, data analytics, machine learning, data wrangling, data visualization, communication, business foundations, and ethics—that increase their marketability in the industry.

A focus on foundational knowledge will help lay the groundwork for a lifelong career trajectory, while plenty of hands-on training via research projects, interdisciplinary collaboration, and internship work will give you a competitive edge in today's job market.",https://datascience.indiana.edu/index.html
Iowa State University, College of Business, M.S. in Business Analytics,BA,2015,"1750 Beardshear Hall, Ames, IA 50011",-93.64790028,42.02683663,IA,"Our curriculum focuses on critical tools like analytics leadership, data wrangling and analytics, data visualization and communication, and problem solving — taught through hands-on exercises and case studies. ",https://www.ivybusiness.iastate.edu/degree/mban/?portfolioCats=48
Kennesaw State University, College of Science and Mathematics, Ph.D. in Analytics and Data Science,DS,2015,"1000 Chastain Rd    Mail Box  0110, Kennesaw, GA 30144-5591",-84.58121287,34.03214971,GA,"The Master of Science in Applied Statistics and Analytics (MSAS) program at Kennesaw State University (KSU) is a professional degree program which seeks to prepare a diverse student body to utilize cutting edge applied statistical methods to enable correct, meaningful inferences from data obtained from business, industry, government and health services. The use of a wide variety of commercial software will be emphasized to ensure graduates can effectively analyze real-world data.",https://datascience.kennesaw.edu/
La Salle University, School of Arts and Sciences, M.S. in Analytics,A,2015,"1900 W Olney Ave, Philadelphia, PA 19141-1199",-75.1529215,40.03923963,PA,"The M.S. in business systems and analytics at La Salle prepares students with the knowledge and skills to transform data into insights for informed decision making.  Designed to produce analytics professionals with a well-rounded understanding of the business world, our program maps the theoretical knowledge of statistics, operations research, and information sciences to real-world analytics and data science applications. Backed by a breadth of business knowledge and depth of business analytics skills, you’ll go on to an analytics and data science career in the field of your choice.",https://www.lasalle.edu/business/programs/graduate/business-systems-and-analytics/
Mercer University, Stetson School of Business and Economics, M.S. in Business Analytics,BA,2015,"1501 Mercer University Drive, Macon, GA 31207",-83.65373618,32.8258653,GA,"Converting data into information to guide business decisions is a skill highly sought after by today’s employers. Mercer University’s Master of Science in Business Analytics is designed for the detail-oriented problem solver seeking to pursue or advance their career in the growing field of business analytics. This degree program combines business education with data retrieval, analysis, and presentation skills that prepare students to analyze, synthesize, and visually present data effectively in a business setting. Background knowledge or experience in business analytics is not required. This program is STEM eligible.",https://business.mercer.edu/programs/ms-business-analytics/
Mercyhurst University, Ridge College of Intelligence Studies and Applied Sciences M.S. in Data Science,,DS,2015,"501 E 38th St, Erie, PA 16546",-80.052705,42.105069,PA,"The Master of Science in Data Science program prepares students to collect, analyze, visualize, and communicate actionable insights for data-driven decisions in business, non-profit, and government organizations. Data analytics can be used to maintain competitiveness, adapt business strategies, increase sales, or enhance security.",https://www.mercyhurst.edu/academics/grad/data-science
Michigan Technological University, The Graduate School, M.S. in Data Science,DS,2015,"1400 Townsend Drive, Houghton, MI 49931-1295",-88.55137151,47.1190559,MI,"Our degree will provide you with a broad-based education in data mining, predictive analytics, cloud computing, data-science fundamentals, communication, and business acumen. Additionally, you will gain a competitive edge through domain-specific specialization in disciplines of science and engineering. You will have the freedom to explore and develop your own interests in one or more domains. ",https://www.mtu.edu/data-science/programs/masters/
Northeastern University, D’Amore-McKim School of Business, M.S. in Business Analytics,BA,2015,"360 Huntington Ave, 110CH, Boston, MA 02115",-71.088894,42.340068,MA,"Gain exposure to data mining, statistical and quantitative analysis, multivariate testing, and predictive modeling, Learn to use tools that may include Python, R, SPSS, SQL, and Tableau, Explore real company data through in-class case studies, Get personalized career guidance from the D’Amore-McKim Graduate Career Center.",https://damore-mckim.northeastern.edu/programs/ms-business-analytics/
Regis University, College of Computer & Information Sciences, M.S. in Data Science,DS,2015,"3333 Regis Blvd, Denver, CO 80221-1099",-105.030973,39.78887444,CO,"As a Regis student, you’ll gain a deep understanding of predictive analytics, statistics, data visualization and data engineering, as well as the ethical and legal nuances of data collection.

You won’t just be sitting in front of a computer, either — between our combined curriculum, practicums and project-based learning, you’ll have plenty of opportunities to see how data is actually put to use. Our curriculum covers both analytics and engineering, meaning you’ll become a well-rounded, dynamic data scientist.",https://www.regis.edu/academics/majors-and-programs/graduate/data-science-ms
Rockhurst University, Helzberg School of Management, M.S. in Business Intelligence and Analytics,BA,2015,"1100 Rockhurst Rd, Kansas City, MO 64110-2561",-94.57303245,39.03275163,MO,"Students take data analytics courses that will teach the technical skills behind statistical modeling, machine learning, computer science, predictive modeling and cutting-edge data visualization while continuously applying these skills to real business problems, providing the skills you need to be successful in a corporate environment. Graduates of the Masters in Data Analytics program are not only technically savvy, but are also prepared to effectively communicate advanced data topics to managers and colleagues with less technical expertise.",https://www.rockhurst.edu/data-analytics
Saint Mary’s College of California, School of Economics and Business Administration, M.S. in Business Analytics,BA,2015,"132 Le Mans Hall Indiana Rt. 933, Notre Dame, IN 46556",-86.25745308,41.7068943,IN,The MS in Business Analytics aims to develop graduates who can perform sophisticated analytics for actionable business opportunities and decisions. The program helps demystify data and equip you with concrete skills you can apply in your everyday decision-making. ,https://www.stmarys-ca.edu/ms-in-business-analytics
Slippery Rock University, College of Health Environment and Science, M.S. in Data Analytics,DA,2015,"1 Morrow Way, Slippery Rock, PA 16057-1383",-80.05241737,41.06035622,PA,"SRU's Master of Science in Data Analytics is 33 credits and can be completed in 10 months full-time or 2 year part-time. One particularly distinguishing feature of the program is its validation by alignment with standards established by professional certificate programs. SAS logoIn particular, students who complete the program will receive a joint certificate in statistical applications and data analytics from SRU and the SAS (Statistical Analysis System) Institute Inc. SAS Institute Inc. is one of the most widely used software platforms in the world for performing data analytics and statistical analysis. SRU is 1 of only 56 institutions in the country that offer SAS certificate upon graduation. This will give graduates of the program a significant advantage in the marketplace.

Moreover, the MSDA will provide the training necessary for the Certified Analytics Professional (CAP) exam. The CAP exam is a broad-based analytics exam administered by the Institute for Operations Research and the Management Sciences (INFORMS). INFORMS is the largest professional organization in the world that supports operations research, management science, and data analytics.",https://www.sru.edu/academics/graduate-programs/data-analytics-master-of-science
Southern Methodist University," Dedman College of Humanities and Sciences, Lyle School of Engineering and Meadows School of the Arts",M.S. in Data Science,DS,2015,"6425 Boaz St, Dallas, TX 75275-0221",-96.7954,32.77816,TX,"DataScience at SMU is an online Master of Science in Data Science program designed for current and aspiring data science professionals looking to gain the advanced skills needed to manage, analyze, mine and understand complex data to make strategic decisions in their organizations. Through a combination of interactive coursework, collaborative group activities and online face-to-face classes, students gain the technical, analytical and communication skills needed to make meaningful data-driven decisions across various industries.",https://datascience.smu.edu/
Texas Tech University, Rawls College of Business, M.S. in Data Science,DS,2015,"15th Street and Akron, P. O. Box 4219, MS 2019, Lubbock, TX 79409-5005",-101.873871,33.582168,TX,"the Rawls College Master's in Data Science (MSDS) program provides graduates with the technical expertise needed to lead in the digital frontier. Through our 36-hour, STEM-designated program, learn how to manage, analyze and understand complex data to make strategic decisions. Upon graduation, you will have the skills and knowledge needed to be an agile data scientist capable of making impactful decisions across a variety of business settings and industries.",https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/
University of Dallas, Gupta College of Business, M.S. in Business Analytics,BA,2015,"1845 E Northgate, Irving, TX 75062-4736",-96.9206715,32.84438851,TX,"The Master of Science (M.S.) in Business Analytics program at the University of Dallas prepares you to influence strategy, processes and decision-making by exploring relationships through data analysis. Learn the technical skills for deriving meaning from big data, as well as the ability to effectively communicate results to key stakeholders
The Business Analytics program provides students with the tools and techniques required for analyzing business data and creating predictive models to support ethical and sustainable business decisions in both domestic and global contexts. The program is developed in partnership with SAS and students will gain the knowledge necessary to take five SAS certifications as a part of their main coursework.",https://udallas.edu/cob/academics/ms/business_analytics/index.php
University of Houston–Downtown, College of Sciences and Technology, M.S. in Data Analytics,DA,2015,"1 Main St, Houston, TX 77002-1014",-95.35869143,29.76593159,TX,"The Master of Science in Data Analytics (MSDA) is a theory and application-based program that will provide students with a broad education in advanced statistics, digital data acquisition, digital data management, data analysis, and data presentation. The MS in Data Analytics is designed to meet the increasing need for highly skilled data analysts who can analyze the growing amount of data confronting in a variety of disciplines, and transform it into usable information for use in decision-making. The program is a university-wide collaboration that delivers rigorous training in statistical analysis and computational techniques and provides mastery of data analysis tied to interdisciplinary applications. Students in the program study 27 hours of foundation courses with topics in regression analysis, multivariate analysis, experimental design, nonparametric analysis, statistical modeling, simulation, mathematical theory for data analysis, and statistical computing. Students also take 6 hours of interdisciplinary application courses in business management, science, criminal justice, education, communication, and social sciences. In the final semester, students will have the opportunity to engage in research or real-world applications with faculty members at UHD and other collaborators of UHD faculty and/or internships with partnering businesses, industry, and government agencies.",https://www.uhd.edu/academics/sciences/pages/master-in-data-analytics.aspx
University of Iowa, Tippie College of Business, M.S. in Business Analytics,BA,2015,"101 Jessup Hall, Iowa City, IA 52242-1316",-91.53645834,41.66244848,IA,"Learn the skills and techniques to turn raw data into actionable insights. Descriptive and diagnostic analytics are just starting points in our full-time business analytics program. We'll develop skills to make you a decision-maker and data scientist adept at using predictive and prescriptive analytics to solve business problems.
Whether it's developing algorithms to predict criminal behavior in metro areas or modeling effective logistics in the wake of a catastrophe, our business analytics faculty are on the cutting edge of the discipline. As a graduate student studying business analytics, you'll work closely with some of the leading researchers in the field. ",https://tippie.uiowa.edu/future-graduate-students/masters-programs/business-analytics
University of Kansas Edwards Campus, Medical Center, M.S. in Applied Statistics and Analytics,A,2015,"12600 Quivira Road, Overland Park, KS 66213",-94.72385727,38.89935,KS,"KU’s applied statistics, analytics and data science graduate programs are designed for students who want to enter or advance in the in-demand field of data and statistics. These programs help students effectively communicate principles of statistics and analytics, and assist with design and implementation of data management systems. The programs are open to students who display strong math skills, but may not have statistics-based academic backgrounds.",https://edwardscampus.ku.edu/overview-masters-applied-statistics-analytics
University of Minnesota," College of Science & Engineering, College of Liberal Arts and School of Public Health",M.S. in Data Science,DS,2015,"321 19th Avenue South, Minneapolis, MN 55455",-93.2456233,44.97043982,MN,"The Master's of Science in Data Science program is a regular, two-year (31 credits) master's program integrates a strong foundation in big data and analysis.

Students will learn state-of-the-art methods for working with big data, be exposed to cutting-edge methods and theory for forming the basis for next generation big data technology, and will complete a project demonstrating their usage of fundamental concepts of data science.

Students take multiple courses in each of the three focus areas (statistics, algorithmics, and infrastructure and large scale computing) plus electives.

All students have the opportunity to conduct research under the direction of a faculty member, culminating with the capstone project and poster at the annual Data Science Poster Fair.",https://cse.umn.edu/datascience
University of New Hampshire, The Graduate School, M.S. in Analytics,A,2015,"Thompson Hall, 105 Main Street, Durham, NH 03824-3547",-70.93293887,43.13725345,NH,"Harness the power of data to develop insight into business decisions and organizational questions. The Master of Science in Business Analytics will develop your skills in data analysis and visualization, predicting/forecasting future probabilities and trends, and helping leaders make decisions in resource-constrained environments. With full- and part-time options, it is perfect for those with undergraduate preparation in quantitative oriented business, engineering, mathematics/statistics, economics, or STEM fields. An introductory level of exposure to Calculus is expected.",https://gradschool.unh.edu/analytics
University of North Carolina at Charlotte, College of Computing and Informatics Belk College of Business, M.S. in Data Science and Business Analytics,DS,2015,"9201 University City Blvd, Charlotte, NC 28223-0001",-80.735445,35.307855,NC,"The Data Science and Business Analytics program at UNC Charlotte is the region’s first Professional Science Master's (PSM) level-program developed to prepare the future’s leaders in data science and business analytics. Designed in conjunction with local, regional, and international leaders in the field, our interdisciplinary program is dedicated to providing the skills necessary for success.

Our program offers both a Graduate Certificate and a Master's degree, designed to prepare students for expertise in business, computer and information sciences, and operations research. The M.S. in Data Science and Business Analytics has a proven track record of placing graduates in Fortune 500 companies across various industries, such as financial services, energy, retail, manufacturing, and more! ",https://dsba.charlotte.edu/
University of Notre Dame, Mendoza College of Business–Chicago Campus, M.S. in Business Analytics,BA,2015,"Main Building, Notre Dame, IN 46556",-86.23873934,41.70330389,IN,"With the Notre Dame Master of Science in Business Analytics (MSBA) in Chicago, you go beyond data collection to create impact. You understand the techniques and challenges of data while telling the stories of data in a powerful way. You have the unique skills and knowledge to identify and integrate data sources, develop machine learning models, and communicate the results to business leaders. Ultimately, you’ll champion the use of data to make educated business decisions.",https://mendoza.nd.edu/graduate-programs/business-analytics-chicago-msba/
University of Oklahoma, Gallogly College of Engineering, M.S. in Data Science and Analytics,DS,2015,"660 Parrington Oval, Room 110, Norman, OK 73019",-97.44603113,35.210376,OK,"The online Master of Science in Data Science and Analytics program is structured to develop the advanced skills to design and build tools to extract, assimilate and analyze data, and gain an understanding of the systems to predict and enhance future performance for enterprises across all domains of the private and public sectors. The Gallogly College of Engineering developed this program in collaboration with the Schools of Computer Science and Industrial and Systems Engineering, to provide you with a diverse set of in-demand technical and analytical data skills.",https://ou.edu/coe/dsai
University of Rochester, School of Arts and Sciences, M.S. in Data Science,DS,2015,"Wallis Hall, Rochester, NY 14627",-77.628555,43.12867844,NY,"The Master of Science (MS) in Data Science program at the University of Rochester is seeking motivated, qualified, and well-rounded applicants. A bachelor’s degree in a STEM field is preferred but not required. Prospective students should have undergraduate mathematics experience through basic calculus, but do not need college-level statistics or data analytics. Prospective students should also have some prior programming experience.",https://www.sas.rochester.edu/dsc/graduate/apply.html
University of the Pacific, School of Engineering and Computer Science, M.S. in Data Science (formerly the M.S. in Analytics; renamed in 2017.),DS,2015,"3601 Pacific Ave, Stockton, CA 95211",-121.3078633,37.98134465,CA,"The MS in Data Science prepares graduates for careers in data analytics and related fields.  This is a science (as opposed to business) based program that is focused on developing students’ math foundation in statistics and linear algebra, and computer programming to prepare them for coursework in topics like machine learning, time series analysis, customer analytics, and data visualization.",https://engineering.pacific.edu/engineering/academics/ms-data-science
University of Texas at Arlington, College of Business, M.S. in Business Analytics,BA,2015,"701 S. Nedderman Dr., Arlington, TX 76013",-97.11511711,32.7284403,TX,"The Master of Science in Business Analytics is a STEM-designated program designed to prepare graduates to identify and implement opportunities for the strategic use of business analytics. Students gain knowledge of a broad range of disciplines and functions in business, as well as a specialized knowledge of business analytics and its accompanying skill set.
",https://www.uta.edu/academics/programs/business-analytics-ms
University of Wisconsin–Extension, Division of Continuing Education Outreach and E-Learning,M.S. in Data Science,DS,2015,"780 Regent Street Suite 130, Madison, WI, 53715",-89.39867001,43.06774391,WI,"This data science master’s degree offers a breadth of learning unlike other programs. As a student, you will learn the foundational methods and tools used within the field, while also gaining hands-on experience in more advanced areas. Courses are taught by diverse and distinguished faculty from across the University of Wisconsin System. Our UW Data Science master’s graduates hold positions such as data engineer, chief and senior data scientist, data analyst, computer programmer, IT architect, business intelligence architect, database engineer, software engineer, solutions architect, programming analyst, among others. ",https://datasciencedegree.wisconsin.edu/
Valparaiso University, The Graduate School & Continuing Studies, M.S. in Analytics and Modeling,A,2015,"1700 Chapel Drive OP Kretzmann Hall, Valparaiso, IN 46383-6493",-87.03973354,41.4633387,IN,"Analytics and modeling focuses on the integration of knowledge and methodologies from mathematics, statistics, and computer science to analyze and solve problems in science, engineering, and other fields. As scientific and engineering fields deal with increasingly complex and expanded information and data sets, the need for individuals with such computational skills is expected to expand greatly. This 36-credit program provides students with a set of highly marketable skills applicable to many areas of science, industry, business, and government.
Core courses built around statistics, databases, and visual imaging
Advanced coursework in computational applications, including modeling techniques
Experience in a data-focused programming language, such as Python, R, or SAS
Research projects and internships allowing students to apply their skills to real-world problems",https://www.valpo.edu/mathematics-statistics/academics/degree-programs/m-s-in-analytics-and-modeling/
Xavier University, Williams College of Business, M.S. in Customer Analytics,A,2015,"3800 Victory Parkway, Cincinnati, OH 45207-1092",-84.47657146,39.14884703,OH,"The Master of Science in Customer Analytics (MSCA) prepares and develops students for data-led, customer-centric, problem-solving, leadership roles that help companies make better business decisions. Xavier's unique partnerships with business leaders and real-world opportunities give students the expertise required to stand out in this growing field and ethically succeed in today's information-rich environment.",https://www.xavier.edu/master-science-customer-analytics/index
Appalachian State University, Walker College of Business, M.S. in Applied Data Analytics,DA,2016,"438 Academy Street, Boone, NC 28608",-81.67766771,36.2129174,NC,"Appalachian State University offers a Master of Science in Applied Data Analytics. This STEM designated degree provides students with not only the technical skills to work with data, but to do so within the business context. International students will enjoy 36 months (3 years) of Optional Practical Training (OPT). The program develops business professionals who understand and can apply data analytics concepts, techniques and tools to promote effective organizational decision-making and problem-solving. ",https://business.appstate.edu/programs/graduate-programs/ms-applied-data-analytics
Boston University, Metropolitan College, M.S. in Applied Business Analytics,BA,2016,"One Silber Way, 8th Floor, Boston, MA 02215",-71.0997255,42.349608,MA,"To help close this skills gap, Boston University’s Metropolitan College offers an online Master of Science in Applied Business Analytics Management degree program. Students have the opportunity to gain hands-on experience with a variety of analytical models and decision-support tools, which they can apply to interlinked data-inputs and large data sets in the areas of marketing, operations, product and technology innovations, financial services, and others. Boston University’s applied business analytics curriculum covers advanced software tools and functions, such as descriptive, predictive, and prescriptive modeling; text and data mining; visual analytics; and business simulations. Graduates of the program will be able to analyze data-driven business processes, select appropriate analytical methods to monitor and identify performance issues, prescribe possible outcomes, and propose optimal data-based solutions.",https://www.bu.edu/online/programs/graduate-programs/applied-business-analytics/
California Polytechnic State University – San Luis Obispo, Orfalea College of Business, M.S. in Business Analytics,BA,2016,"1 Grand Avenue, San Luis Obispo, CA 93407",-120.6529536,35.29608094,CA,"Our 10-month in-person program offers students an incredible opportunity to advance their professional careers in the fast-growing data analytics field. This comprehensive program encompasses statistics, machine learning, econometrics, marketing analytics, and data management. Students also work collaboratively on real-world industry projects, providing them valuable experience working for a client in a team. Our emphasis on advanced statistical modeling, machine learning, data, communication, and cloud computing means students learn to ask the right questions to create actionable intelligence.",https://gradbusiness.calpoly.edu/ms-business-analytics/
Case Western Reserve University, Weatherhead School of Management, M.S.M. in Business Analytics,BA,2016,"10900 Euclid Ave, Cleveland, OH 44106",-81.6062085,41.500899,OH,"Study cutting-edge analytics using real world data from our industry partners to develop skills extracting insights from analytics for business problem solving.

Through internships, one-on-one mentorships, and professional networking events throughout the year, you'll interact with industry partners to develop your business connections needed to thrive upon graduation.",https://weatherhead.case.edu/degrees/masters/m-business-analytics/
Chapman University, Schmid College of Science & Technology, M.S. in Computational and Data Sciences,DS,2016,"One University Dr., Orange, CA 92866",-117.852228,33.79333951,CA,"Computational and Data Scientists construct mathematical models, develop quantitative analysis techniques, and use computers to analyze and solve scientific real-life problems. Our mission is to provide graduates with innovative tools and a collaborative approach to meeting tomorrow’s challenges.

Chapman University offers both M.S. and Ph.D. programs in Computational and Data Sciences. The programs follow a uniquely interdisciplinary approach to solving critically important problems, using mathematics, physics, chemistry, biology, statistics and computing. Through modeling, simulation and study of specific phenomena via computer analysis, data mining and software engineering, you will learn to apply extraordinary technology and processes to answer the world’s most complex questions in fields including: Predictive Analytics, Earth Systems Science, Bioinformatics and Biotechnology, Genomics and Drug Design, Population Genetics, and Economic Science.",https://www.chapman.edu/scst/graduate/ms-computational-science.aspx
Columbia University, School of Professional Studies, M.S. in Applied Analytics,A,2016,"535 West 116th Street, New York, NY 10027",-73.9624231,40.8074235,NY,"Rapid innovation in data collection and processing technologies requires organizations to find professionals who can use data to deliver insights through analytics. Columbia University’s Master of Science in Applied Analytics prepares students with the practical data and leadership skills to succeed. The program combines in-depth knowledge of data analytics with the leadership, management, and communication principles and tactics necessary to impact decision-making at all levels within organizations.",https://sps.columbia.edu/academics/masters/applied-analytics
Fordham University, Graduate School of Arts and Sciences, M.S. in Data Science (Formerly the M.S. in Data Analytics; renamed in 2021.),DS,2016,"441 E Fordham Rd, Bronx, NY 10458",-73.88989361,40.86093439,NY,"Our cutting-edge program features fundamental concepts and state-of-the-art learning across the discipline in all of the following areas:

Machine/deep Learning
Big data
Bioinformatics
Computer vision
Neuroscience
Natural language processing
Cybersecurity
Computational social science
Computational finance
MSDS students are equipped with advanced technical knowledge, leadership skills, and practical training, as well as access to wide-ranging internship, networking, and research opportunities in and around New York City.",https://www.fordham.edu/info/25661/master_of_science_in_data_science
Johns Hopkins University, Whiting School of Engineering, M.S. in Data Science,DS,2016,"3400 N Charles St, Baltimore, MD 21218-2688",-76.61798542,39.32912842,MD,"Designed specifically with working professionals in mind, you will engage in a number of modern online courses created to expand your knowledge for advanced career opportunities in data science, including Machine Learning, Data Visualization, Game Theory, and Large-Scale Data Systems. Learn from senior-level engineers and data scientists who will incorporate realistic scenarios in your studies that you have or will encounter as a professional. 

The online master’s degree in data science prepares you to succeed in specialized jobs involving everything from the data pipeline and storage to statistical analysis and eliciting the story the data tells. You will: 

Gain practical skills and advance your career to meet the growing demand for data scientists.
Balance both the theory and practice of applied mathematics and computer science to analyze and handle large-scale data sets.
Manage and manipulate information to discover relationships and insights into complex data sets.
Create models using formal techniques and methodologies of abstraction that can be automated to solve real-world problems.
Select the courses that fit your area of interest.
Become a confident data scientist and leader.",https://ep.jhu.edu/programs/data-science/
Kent State University, College of Business Administration, M.S. in Business Analytics,BA,2016,"P.O. Box 5190, Kent, OH 44242-0001",-81.351198,41.153679,OH,"The Kent State University MSBA program provides you with a holistic knowledge of analytics that balances the technologies, analytical methods and business expertise you need to be able to glean useful information from data and make strategic business decisions.

With our STEM designation, international F-1 students qualify for OPT (Optional Practical Training), which helps them to acquire additional career experience while at Kent State.

With a KSU MSBA, you will gain the technical, analytical, communication, decision-making and leadership skills you need to be a successful business analyst. The in-person and online curriculum includes integrative capstone analysis projects, as well as an internship option for more professional development through our on-site Career Services Office dedicated to business students.",https://www.kent.edu/business/msba
Massachusetts Institute of Technology, Sloan School of Management, Master of Business Analytics,BA,2016,"77 Massachusetts Avenue, Cambridge, MA 02139-4307",-71.093034,42.359193,MA,"In just 12 months, the MIT Sloan Master of Business Analytics program prepares students for careers that apply and manage modern data science to solve critical business challenges. 

Established in conjunction with MIT's Operations Research Center – an interdisciplinary research center established in 1953– the MBAn program is tailored for current students or recent college graduates who plan to pursue a career in the data science industry, as well as those seeking career advancement or change, especially engineers, mathematicians, physicists, computer programmers, and other high-tech professionals. The program answers the industry’s demand for a skilled pool of graduates who can apply data science to solve business challenges.",https://mitsloan.mit.edu/master-of-business-analytics#curriculum
New England College, School of Graduate and Professional Studies, M.S. in Data Analytics and Business Statistics,DA,2016,"98 Bridge St, Henniker, NH 03242",-71.82210262,43.17728018,NH,"Applied Data Analytics plays an integral role in determining an organization’s overall strategic direction, and demand for this crucial set of skills is growing globally. Graduates can expect to play a greater role in decision making and strategy setting for their current or future organizations, adding significant value: studies show that businesses that understand how to interpret data outperform competitors by up to 20%.

New England College’s Master of Science in Applied Data Analytics provides students with frameworks for critically looking at data, interpreting and visualizing data, and applying that knowledge in real-world applications that will shape how 21st century business challenges are addressed.",https://www.nec.edu/programs/applied-data-analytics-m-s/
New College of Florida, Graduate Program, Master of Data Science,DS,2016,"5800 Bay Shore Road, Sarasota, FL 34243-2109",-82.55908402,27.38483539,FL,"The Master’s in Applied Data Science is a 2-year program that consists of 36 credit hours spanning four semesters. The curriculum offers a blend of interdisciplinary theory and practical application of skills through courses, such as Exploratory Data Analysis, Applied Machine Learning, and Data Visualization.  Our students gain experience applying both R and Python to develop solutions for our corporate partners as a part of the rigorous curriculum.

In the final semester, students will implement their skills and obtain industry experience with a paid practicum working full-time as part of a data science team at one of our corporate partners, or at another company or organization of their choice. The practicum course will be completed under Data Science faculty supervision and is a required component of the program.  At the end of the program, students would have gained the industry knowledge, technical skills, and real-world experience required to start their successful careers.

",https://www.ncf.edu/academics/graduate-program/
Northeastern University, College of Professional Studies, Master of Professional Studies in Analytics,A,2016,"360 Huntington Ave, 110CH, Boston, MA 02115",-71.088894,42.340068,MA,"The Master of Professional Studies in Analytics trains you to discover, interpret, and effectively communicate data to help organizations make informed decisions. Focused on skills you can readily apply on the job, our program will build your knowledge of statistics and mathematics, analytics systems technology, business intelligence, business process management, analytics agility, data leadership and governance, and policy and ethics. You'll have the opportunity to work with a sponsoring organization to expand your professional network and get hands-on experience in everything from data extraction to the translation and implementation of data analysis. In the process, you’ll explore the implications of analytics on a local, national, and global scale, learn to defend ideas with data, and build a portfolio to showcase your skills.",https://cps.northeastern.edu/program/master-of-professional-studies-in-analytics-online/
Northeastern University, Khoury College of Computer Sciences, M.S. in Data Science,DS,2016,"360 Huntington Ave, 110CH, Boston, MA 02115",-71.088894,42.340068,MA,"We developed our Master’s in Data Science with that, and your current background, in mind. As an interdisciplinary program between the Khoury College of Computer Sciences and the College of Engineering, you’ll develop comprehensive expertise in mathematics, computing, and data engineering so you can take your data career to the next level. That interdisciplinary element means you’ll receive robust, comprehensive exposure to the world of data science. Our wide breadth of elective courses will help you create a curriculum that’s unique to your own interests. And with a full spectrum of exciting co-op, research, and internship opportunities, you’ll gain even more real-world experience to help you emerge from your studies prepared for whatever and wherever data leads you next.",https://www.khoury.northeastern.edu/programs/data-science-ms/
Oklahoma State University, Spears School of Business, M.S. in Business Analytics,BA,2016,"900 N. Portland Ave., Oklahoma City, OK 73107",-97.58327251,35.476038,OK,"The MS in Business Analytics and Data Science (MS BAnDS) is a STEM program that offers students practical data analysis experience by applying knowledge acquired in classrooms to solving real-world business problems. We use state-of-the-art enterprise-level analytics software from multiple vendors. Beyond 22 credit hours of core courses, students have the choice of specializing in various options such as marketing analytics, healthcare analytics, advanced data science or cybersecurity analytics.",https://business.okstate.edu/analytics/index.html
Oregon State University," College of Science, School of Electrical Engineering & Computer Science",M.S. in Data Analytics,DA,2016,", Corvallis, OR 97331",-123.279925,44.56491,OR,"In Oregon State University's online Master of Science in Data Analytics program, you'll explore real data problems that are interesting and challenging as you equip yourself with the quantitative tools and skills needed to gather, analyze and interpret data on large and small scales.

All courses in this program were developed and are taught by full-time Oregon State faculty members, and the coursework integrates OSU's strengths in statistics, computer science, mathematics, policy and applied sciences such as genomics.",https://ecampus.oregonstate.edu/online-degrees/graduate/data-analytics/
Penn State Great Valley, School of Graduate Professional Studies, Master of Professional Studies in Data Analytics,DA,2016,"30 E. Swedesford Road, Malvern, PA 19355-1488",-75.522249,40.052961,PA,"Cultivate the knowledge and practical skills required to collect, classify, analyze, and model data at large and ultra-large scales and across domains using statistics, computer science, machine learning, and software engineering with this online data analytics master's degree program.
In the comprehensive base program curriculum, the focus of instruction is on big data and database design processes. You can learn data management technologies and techniques for descriptive, prescriptive, and predictive analytics used to leverage competitive advantage in an array of disciplines. Courses are designed to help you become an expert in the data sciences and enable you to apply analytics techniques to business problems involving high volumes of structured and unstructured data. 

You can also choose a program option to concentrate in business analytics or marketing analytics.",https://www.worldcampus.psu.edu/degrees-and-certificates/data-analytics-base/overview
